Title,Physical Date,PHY Date Week Num,PHY to TH,Physical W1 Units,Studio,Rating,Box Office,Franchise,Count of Awards, Action, Adventure,Animation, Biography, Comedy, Crime,Documentary, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Short, Sport, Thriller, War, Western
MONUMENTS MEN,5/20/2014,21,102,240993,Sony Pictures,PG-13,78031620,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MORGAN,12/13/2016,51,102,12559,20th Century Fox,R,3915251,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
MORTDECAI,5/12/2015,20,109,57530,Lionsgate,R,7696134,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
MOST WANTED MAN,11/4/2014,45,95,33462,Lionsgate,R,17237855,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MOTHER,12/19/2017,51,95,23314,Paramount Pictures,R,17800004,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
MOTHERS DAY,8/2/2016,32,95,48712,Universal Studios,PG-13,32492859,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNTAIN BETWEEN US,12/26/2017,52,81,60125,20th Century Fox,PG-13,30348555,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
MR HOLMES,11/10/2015,46,109,48722,Lionsgate,PG,17737646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MR TURNER,5/5/2015,19,137,2717,Sony Pictures,R,4175775,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MUMMY,9/12/2017,37,95,282787,Universal Studios,PG-13,74451105,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
MUPPETS-MOST WANTED,8/12/2014,33,144,126928,Walt Disney Studios,PG,51183113,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
MURDER ON THE ORIENT EXPRESS,2/27/2018,9,109,171596,20th Century Fox,PG-13,102826543,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MY ALL AMERICAN,2/23/2016,9,102,24015,Universal Studios,PG,2186656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MY BIG FAT GREEK WEDDING 2,6/21/2016,26,88,168268,Universal Studios,PG-13,59689605,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MY COUSIN RACHEL,8/29/2017,35,81,3004,20th Century Fox,PG-13,2716368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
