Title,Physical Date,PHY Date Week Num,PHY to TH,Physical W1 Units,Studio,Rating,Box Office,Franchise,Count of Awards, Action, Adventure,Animation, Biography, Comedy, Crime,Documentary, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Short, Sport, Thriller, War, Western
ROSEWATER,2/10/2015,7,88,4276,Universal Studios,R,3128941,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUGH NIGHT,9/5/2017,36,81,33793,Sony Pictures,R,22092592,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RULES DONT APPLY,2/28/2017,9,97,5431,20th Century Fox,PG-13,3652206,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RUN ALL NIGHT,6/16/2015,25,95,100368,Warner Bros.,R,26461644,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SABOTAGE,7/22/2014,30,116,113278,Universal Studios,R,10508518,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SALESMAN,5/2/2017,18,95,1050,Sony Pictures,PG-13,2402067,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
SAME KIND OF DIFFERENT AS ME,2/20/2018,8,123,17160,Paramount Pictures,PG-13,6423605,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMSON,5/15/2018,20,88,23392,Universal Studios,PG-13,4719928,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANDREAS,10/13/2015,42,137,563349,Warner Bros.,PG-13,137985446,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAUSAGE PARTY,11/8/2016,46,88,310998,Sony Pictures,R,97685686,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE,1/5/2016,2,67,24684,Paramount Pictures,R,3703046,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SEARCHING,11/27/2018,48,88,15086,OTHER,PG-13,26020957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SECOND BEST EXOTIC MARIGOLD HOTEL,7/14/2015,29,130,56650,20th Century Fox,PG,33078266,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SECRET LIFE OF PETS,12/6/2016,50,151,1405967,Universal Studios,PG,352428745,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SELF/LESS,11/10/2015,46,123,52683,Universal Studios,PG-13,12279691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
SELMA,5/5/2015,19,131,112109,Paramount Pictures,PG-13,52076908,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SEVENTH SON,5/26/2015,22,109,120131,Universal Studios,PG-13,15222800,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SEX TAPE,10/21/2014,43,95,85886,Sony Pictures,R,38543473,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHACK,5/30/2017,22,88,271743,Lionsgate,PG-13,57386418,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SHALLOWS,9/27/2016,40,95,97358,Sony Pictures,PG-13,55124043,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SHAPE OF WATER,3/13/2018,11,81,163625,20th Century Fox,R,63859435,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
SHAUN THE SHEEP,11/24/2015,48,111,48180,Lionsgate,PG,19376000,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SHERLOCK GNOMES,6/12/2018,24,81,84578,Paramount Pictures,PG,42671186,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
SHOW DOGS,8/21/2018,34,95,16918,Universal Studios,PG,17744685,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHUT IN,2/28/2017,9,109,22865,20th Century Fox,PG-13,6900335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SICARIO,1/5/2016,2,109,147631,Lionsgate,R,46889293,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SICARIO: DAY OF THE SOLDADO,10/2/2018,40,95,108905,OTHER,R,50072235,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SILENCE,3/28/2017,13,74,26614,Paramount Pictures,R,7100177,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SING,3/21/2017,12,90,1220639,Universal Studios,PG,258811960,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
SING STREET,7/26/2016,31,131,5293,OTHER,PG-13,3237118,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SINISTER 2,1/12/2016,3,144,36787,Universal Studios,R,27740955,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
SISTERS,3/15/2016,12,88,157049,Universal Studios,R,87044645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKELETON TWINS,12/16/2014,51,95,15951,Lionsgate,R,5284309,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SKYSCRAPER,10/9/2018,41,88,224712,Universal Studios,PG-13,68420120,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLEEPLESS,4/18/2017,16,95,75293,Universal Studios,R,20783704,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLEIGHT,8/1/2017,31,95,5461,Universal Studios,R,3986245,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SLENDER MAN,11/20/2018,47,102,20684,OTHER,PG-13,30569484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
SMALLFOOT,12/11/2018,50,74,218600,Warner Bros.,PG,83229217,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
SMURFS-THE LOST VILLAGE,7/11/2017,28,95,211068,Sony Pictures,PG,43221523,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SNATCHED,8/8/2017,32,88,131133,20th Century Fox,R,45852178,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNOWDEN,12/27/2016,53,102,42080,Universal Studios,R,21587519,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SNOWMAN,1/16/2018,3,88,31719,Universal Studios,R,6700035,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SOLO: A STAR WARS STORY,9/25/2018,39,123,711737,Walt Disney Studios,PG-13,213767512,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SON OF GOD,6/3/2014,23,95,191956,20th Century Fox,PG-13,59700064,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOUTHPAW,10/27/2015,44,95,130732,OTHER,R,52421953,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SOUTHSIDE WITH YOU,12/13/2016,51,109,10441,Lionsgate,PG-13,6304223,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
SPACE BETWEEN US,5/16/2017,20,102,28726,Universal Studios,PG-13,7885294,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SPARE PARTS,5/5/2015,19,109,12430,Lionsgate,PG-13,3618912,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPECTRE,2/9/2016,7,95,674013,MGM,PG-13,200074609,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SPIDER-MAN: HOMECOMING,10/17/2017,42,102,667345,Sony Pictures,PG-13,313981024,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPLIT,4/18/2017,16,88,164194,Universal Studios,PG-13,138291365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SPOTLIGHT,2/23/2016,9,109,52268,Universal Studios,R,45055776,0,24,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPY,9/29/2015,40,116,251109,20th Century Fox,R,110825712,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST VINCENT,2/17/2015,8,116,100870,OTHER,PG-13,44137712,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR,2/20/2018,8,95,89014,Sony Pictures,PG,40847995,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
STAR TREK BEYOND,11/1/2016,45,102,633625,Paramount Pictures,PG-13,141933860,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
STAR WARS: THE LAST JEDI,3/27/2018,13,102,1878041,Walt Disney Studios,PG-13,573346966,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
STEP UP-ALL IN,11/4/2014,45,88,51392,Lionsgate,PG-13,12860814,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
STEVE JOBS,2/16/2016,8,116,32291,Universal Studios,R,17766658,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STILL ALICE,5/12/2015,20,116,38758,Sony Pictures,PG-13,18765460,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STORKS,12/20/2016,52,88,367314,Warner Bros.,PG,69565772,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
STRAIGHT OUTTA COMPTON,1/19/2016,4,158,529953,Universal Studios,R,161197785,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
STRANGE MAGIC,5/19/2015,21,116,33743,Walt Disney Studios,PG,12429583,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
STRANGERS: PREY AT NIGHT,6/12/2018,24,95,26587,Universal Studios,R,24586708,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STRONGER,12/19/2017,51,88,29265,Lionsgate,R,4211129,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUBURBICON,2/6/2018,6,102,16088,Paramount Pictures,R,5775178,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SUFFRAGETTE,2/2/2016,6,113,9232,Universal Studios,PG-13,4702420,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SUICIDE SQUAD,12/13/2016,51,130,1108999,Warner Bros.,PG-13,296189950,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SULLY,12/20/2016,52,102,409028,Warner Bros.,PG-13,125070033,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPER TROOPERS 2,7/17/2018,29,88,119244,20th Century Fox,R,30617396,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SUPERFLY,9/11/2018,37,90,19314,Sony Pictures,R,20545116,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
T2-TRAINSPOTTING,6/27/2017,26,88,14876,Sony Pictures,R,2402004,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE 19,6/13/2017,24,102,9421,20th Century Fox,PG-13,3614896,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TAG,8/28/2018,35,74,82884,Warner Bros.,R,54547470,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAKEN 3,4/21/2015,17,102,375902,20th Century Fox,PG-13,89256424,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TAMMY,11/11/2014,46,132,247960,Warner Bros.,R,84525432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TED 2,12/15/2015,51,172,346084,Universal Studios,R,81476385,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEEN TITANS! GO TO THE MOVIES,10/30/2018,44,95,35121,Warner Bros.,PG,29790236,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
TEENAGE MUTANT NINJA TURTLES,12/16/2014,51,130,1467353,Paramount Pictures,PG-13,173324913,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TERMINATOR GENISYS,11/10/2015,46,132,344629,Paramount Pictures,PG-13,77864619,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
THANK YOU FOR YOUR SERVICE,1/23/2018,4,88,25928,Universal Studios,R,9536300,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
THAT AWKWARD MOMENT,5/13/2014,20,102,50335,Sony Pictures,R,26068955,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
THE DARKEST MINDS,10/30/2018,44,88,24726,20th Century Fox,PG-13,12695691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
THE EQUALIZER 2,12/11/2018,50,144,284602,OTHER,R,102084362,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
THE FIRST PURGE,10/2/2018,40,90,52917,Universal Studios,R,69488745,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
THE HAPPYTIME MURDERS,12/4/2018,49,102,52223,OTHER,R,20706452,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
THE HOUSE WITH A CLOCK IN ITS WALLS,12/18/2018,51,88,227316,Universal Studios,PG-13,68549695,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
THE MEG,11/13/2018,46,95,256542,Warner Bros.,PG-13,145443742,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
THE NUN,12/4/2018,49,88,89380,Warner Bros.,R,117450119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
THE PREDATOR,12/18/2018,51,95,216982,20th Century Fox,PG-13,51024708,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
THE SPY WHO DUMPED ME,10/30/2018,44,88,63509,Lionsgate,R,33562069,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THEIR FINEST,7/11/2017,28,529,3847,Lionsgate,PG-13,3603484,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
THEORY OF EVERYTHING,2/17/2015,8,83,62925,Universal Studios,PG-13,35893537,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
THINK LIKE A MAN TOO,9/16/2014,38,88,80274,Sony Pictures,PG-13,65182000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
THIS IS WHERE I LEAVE YOU,12/16/2014,51,88,61141,Warner Bros.,R,34296320,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THOR: RAGNAROK,3/6/2018,10,123,1268876,Walt Disney Studios,PG-13,296914349,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
THOROUGHBREDS,6/5/2018,23,88,4641,Universal Studios,R,2976330,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI",2/27/2018,9,109,74347,20th Century Fox,R,54513740,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER,6/12/2018,24,88,183322,Warner Bros.,PG-13,54992484,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
TOMORROWLAND,10/13/2015,42,144,263292,Walt Disney Studios,PG,93436322,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
TOP FIVE,3/17/2015,12,95,33558,Paramount Pictures,R,25317379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRAFFIK,7/17/2018,29,88,15307,Lionsgate,R,9186156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TRAINWRECK,11/10/2015,46,116,198579,Universal Studios,R,110212700,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRANSCENDENCE,7/22/2014,30,95,109375,Warner Bros.,PG-13,23022309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
TRANSFORMERS 4-AGE OF EXTINCTION,9/30/2014,40,95,1312871,Paramount Pictures,PG-13,210502112,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TRANSFORMERS: THE LAST KNIGHT,9/26/2017,39,97,469649,Paramount Pictures,PG-13,118481451,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TRIPLE 9,5/31/2016,23,95,46643,Universal Studios,R,12639297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TROLLS,2/7/2017,6,95,1085786,DreamWorks,PG,146244456,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
TRUE STORY,8/4/2015,32,109,8434,20th Century Fox,R,4719695,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
TRUMBO,2/16/2016,8,102,11538,Universal Studios,R,7857742,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUTH,2/2/2016,6,95,4972,Sony Pictures,R,2541854,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TULIP FEVER,11/28/2017,48,88,6605,Lionsgate,R,2425664,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
TULLY,7/31/2018,31,88,13046,Universal Studios,R,9334930,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TYLER PERRY'S ACRIMONY,6/26/2018,26,88,82883,Lionsgate,R,43549096,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
TYLER PERRYS SINGLE MOMS CLUB,7/22/2014,30,130,92187,Lionsgate,PG-13,15973881,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN PADRE NO TAN PADRE,6/13/2017,24,137,288,Lionsgate,PG-13,2156047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNBROKEN,3/24/2015,13,89,284584,Universal Studios,PG-13,115637895,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
UNBROKEN: PATH TO REDEMPTION,12/11/2018,50,88,23659,Universal Studios,PG-13,6216897,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNCLE DREW,9/25/2018,39,88,64283,Lionsgate,PG-13,42469946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNFINISHED BUSINESS,6/16/2015,25,102,34548,20th Century Fox,R,10219501,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNFORGETTABLE,7/25/2017,30,95,21680,Warner Bros.,R,11368012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UNFRIENDED,8/11/2015,33,116,39234,Universal Studios,R,32789645,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UNFRIENDED: DARK WEB,10/23/2018,43,95,10607,OTHER,R,8866745,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UNITED KINGDOM,6/6/2017,23,116,2097,20th Century Fox,PG-13,3902185,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UNSANE,6/19/2018,25,88,11023,Universal Studios,R,7732899,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
UPGRADE,8/28/2018,35,88,32912,Universal Studios,R,11916615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
VACATION,11/3/2015,45,97,147318,Warner Bros.,R,58884188,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAMPIRE ACADEMY,5/20/2014,21,102,63712,OTHER,PG-13,7791979,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
VENOM,12/18/2018,51,74,737710,Sony Pictures,PG-13,213480401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VICTOR FRANKENSTEIN,3/8/2016,11,104,31717,20th Century Fox,PG-13,5775076,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
VICTORIA AND ABDUL,12/19/2017,51,88,38895,Universal Studios,PG-13,22245070,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VISIT,1/5/2016,2,116,74121,Universal Studios,PG-13,65206105,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
WALK,1/5/2016,2,88,32584,Sony Pictures,PG,7288994,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WALK AMONG THE TOMBSTONES,1/13/2015,3,116,138838,Universal Studios,R,26017685,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
WALK IN THE WOODS,12/29/2015,53,118,94787,Universal Studios,R,29504282,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAR DOGS,11/22/2016,48,95,80609,Warner Bros.,R,43034523,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WAR FOR THE PLANET OF THE APES,10/24/2017,43,102,350636,20th Century Fox,PG-13,139112940,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
WAR ROOM,12/22/2015,52,116,531638,Sony Pictures,PG,67803563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARCRAFT,9/27/2016,40,109,240702,Universal Studios,PG-13,40617999,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WATER DIVINER,7/28/2015,31,95,27808,Warner Bros.,R,4200117,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WE ARE YOUR FRIENDS,11/17/2015,47,81,7258,Warner Bros.,R,3591417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WEDDING RINGER,4/28/2015,18,102,97543,Sony Pictures,R,64460211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHAT IF,11/25/2014,48,102,3769,Sony Pictures,PG-13,3493000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WHAT WE DO IN THE SHADOWS,7/21/2015,30,158,8390,Paramount Pictures,R,3469224,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WHEN THE BOUGH BREAKS,12/27/2016,53,109,48461,Sony Pictures,PG-13,29747603,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
WHEN THE GAME STANDS TALL,12/9/2014,50,109,121670,Sony Pictures,PG,30127963,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WHERE TO INVADE NEXT,5/10/2016,20,75,7975,OTHER,R,3827261,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHIPLASH,2/24/2015,9,137,52318,Sony Pictures,R,13153778,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WHISKEY TANGO FOXTROT,6/28/2016,27,116,46359,Paramount Pictures,R,23083334,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WHITE BOY RICK,12/25/2018,52,102,18692,Sony Pictures,PG-13,24011188,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHY HIM,3/28/2017,13,95,107588,20th Century Fox,R,60323786,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILD,3/31/2015,14,102,112013,20th Century Fox,R,37880356,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILD LIFE,11/29/2016,49,81,22911,Lionsgate,PG,7525454,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WINCHESTER,5/1/2018,18,88,62570,Lionsgate,PG-13,25091816,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
WIND RIVER,11/14/2017,46,88,52086,Lionsgate,R,33800859,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
WINTERS TALE,6/24/2014,26,130,41030,Warner Bros.,PG-13,12600231,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
WISH I WAS HERE,10/28/2014,44,102,12153,Universal Studios,R,3591299,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
